[2026-09-13 21:25:25 TP0 EP0] Decode batch, #running-req: 1, #full token: 85760, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.09, #queue-req: 0
[2026-09-13 21:25:26 TP0 EP0] Decode batch, #running-req: 1, #full token: 86016, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.27, #queue-req: 0
[2026-09-13 21:25:26 TP0 EP0] Decode batch, #running-req: 1, #full token: 86272, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.69, #queue-req: 0
[2026-09-13 21:25:26 TP0 EP0] Decode batch, #running-req: 1, #full token: 86528, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.30, #queue-req: 0
[2026-09-13 21:25:27 TP0 EP0] Decode batch, #running-req: 1, #full token: 86784, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.83, #queue-req: 0
[2026-09-13 21:25:27 TP0 EP0] Decode batch, #running-req: 1, #full token: 87040, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.72, #queue-req: 0
[2026-09-13 21:25:27 TP0 EP0] Decode batch, #running-req: 1, #full token: 87296, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.96, #queue-req: 0
[2026-09-13 21:25:28 TP0 EP0] Decode batch, #running-req: 1, #full token: 87552, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.85, #queue-req: 0
[2026-09-13 21:25:28 TP0 EP0] Decode batch, #running-req: 1, #full token: 87808, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.71, #queue-req: 0
[2026-09-13 21:25:28 TP0 EP0] Decode batch, #running-req: 1, #full token: 88064, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.75, #queue-req: 0
[2026-09-13 21:25:29 TP0 EP0] Decode batch, #running-req: 1, #full token: 88320, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.33, #queue-req: 0
[2026-09-13 21:25:29 TP0 EP0] Decode batch, #running-req: 1, #full token: 88576, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.40, #queue-req: 0
[2026-09-13 21:25:29 TP0 EP0] Decode batch, #running-req: 1, #full token: 88832, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.60, #queue-req: 0
[2026-09-13 21:25:30 TP0 EP0] Decode batch, #running-req: 1, #full token: 89088, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.64, #queue-req: 0
[2026-09-13 21:25:30 TP0 EP0] Decode batch, #running-req: 1, #full token: 89344, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.72, #queue-req: 0
[2026-09-13 21:25:30 TP0 EP0] Decode batch, #running-req: 1, #full token: 89600, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.00, #queue-req: 0
